,0,1
0,아 진짜!  사무실에서 피지 말라니깐! 간접흡연이 얼마나 안 좋은데!,0
1,그럼 직접 흡연하는 난 얼마나 안 좋겠니?  그래? 보면 꼭... 지 생각만 하고.,3
2,손님 왔어요.,9
3,손님?  누구?,9
4,몰라요. 팀장님 친구래요.,9
5,내 친구?  친구 누구?,9
6,그걸 내가 어떻게 알아요!,0
7,그래서... 무슨 일해?,9
8,그냥 방송일 조금.,9
9,방송?  방송 뭐?,9
10,케이블 같은 데서 아침에 배도 타고 산도 오르고. 있어 그런 거.,9
11,사는덴 어디야?,9
12,개포동.,9
13,남편은 뭐 하는데?,9
14,동사무소에서 인구조사 나왔니?  지금.,0
15,언제부터 시작할 수 있어?,9
16,나?  ... 나보고 하라고?,2
17,그럼 내가 널 왜 만나러 왔겠어?,3
18,근데 왜... 나한테... ?,2
19,내가 몇 명 만나봤는데 보니까 죄다 사기꾼 같고 영 못 믿겠어. 아무래도 이런 일은 아는 사람한테 맡기는 게... 딴 사람들도 다 그러더라.,3
20,에이. 내가 무슨. 나 못해.,9
21,왜?,9
22,나 이런 거 한 번도 안 해봤어.,9
23,잘 됐네. 그럼 이번에 해보면 되잖아.,8
24,야야. 그러지 말고 내가 이런 거 잘하는데 딴 데 소개해줄게. 거...,9
25,이런 거?  돈이 안된다 이거야? 돈 제대로 줄게. 걱정 마.,9
26,아니. 그런 게 아니라...,9
27,아니면 됐네.,9
28,안된다니깐!,0
29,안 내켜.,3
30,왜요?,9
31,뭐가?,9
32,뭐가 이상해?  우정만 돋는구먼. 뭐.,9
33,우정 좋아하네. 싸가지 못 봤어?  지가 청담동 며느리면 다야?,3
34,개포동이라며.,9
35,저 나이에 집 짓겠다는 것도 이상하고...,3
36,남편 복받은 년인가 보지. 뭐.,9
37,... 너 오늘 유난히 대답 잘 한다?  라임 맞춰가면서.,3
38,그니까. 쓸데없는 걱정 말고... 좋은 기회잖아요. 데뷔?  응? 제대로 된 포트폴리오 하나 생기는 건데... 그거 돈으로 치면 얼말까?,9
39,집 짓는 이유가 그렇게 중요해?  왜 내가 사기라도 칠까 봐?,3
40,또. 험악하게. 그런 게 아니라 왜 집을 짓는지 알아야 어떤 집이 필요한지를 알지. 널 잘 너한테 맞는 지을 거 아니야?  안 그래?,9
41,아하 그러니까 날 잘 알고 싶다 이거지?  내가 궁금하시다? 뭐가 그렇게 궁금할까? 나 어디? 뭐?,9
42,그동안 어떻게 지냈어?,9
43,음... 대학 졸업하고 아나운서 시험 준비하면서 방송일 시작했지. 근데 시험엔 계속 떨어지고. 그러다가 에라... 4년 전에 결혼하고.,9
44,남편은 뭐 하는데?,9
45,의사. 돈 잘 버는 압구정동 성형외과. 비포 애프터 전문.,9
46,... 오.,2
47,그러다가 음... 그게 끝이네?  와. 나 너무 심플하게 살았나?,9
48,아무거나 막?,9
49,아무거나 막.,9
50,글쎄... 별로 생각해본 게... 음... 일단. 밝게. 햇빛이 많이 들어오게.,9
51,기본이고.,9
52,거실이 넓었으면 좋겠어. 천장도 높고. 그렇다고 너무 휑하진 않게.,9
53,이것도 뭐. 다들...,9
54,로비가 있었으면 좋겠어. 현관문 열면 집 다 보이지 않게...,9
55,요건 좀 유니크...,9
56,바닥은 돌 같은 거. 대리석 거루다가.,9
57,... 대리석?,2
58,거실에서 하늘이 다 보이는 거야. 별도 보이고.,9
59,지금 회장님 집 짓니?  왜? 이왕이면 마당에 사슴도 키우지? 아니다. 이참에 아주 청와대를 짓자. 그래서 오바마도 초대해서 만찬도 하고.,0
60,아무거나 막 얘기하라며.,0
61,아무거나 막 얘기하랬지. 아무 생각 없이 얘기하랬니?  이런 울트라럭셔리 면 네가 가진 견적으론 화장실 하나 겨우 짓고 땡이야.,0
62,그럼 어떡해?,0
63,뭘 어떡해!  욕심을 줄이던가 아님... 화장실에서 살던가.,0
64,근데 왜 구박이야 구박은!  기분 나빠지려고 그러네!,0
65,아니... 그러니깐. 내 말은 딴 게 아니라... 기준이 뭐냐는 거지?  아버지가 살 집이야? 네가,9
66,아빠 집이 내 집이지. 나도 부지런히 왔다 갔다 할 거니까.,9
67,아니 그래도 누가 살지는 정해야,9
