,0,1
0,고속도로도 가깝고 안산역 좋죠,p
1,커피 너무 맛있네요. 저는 일회용 2개씩 넣는 거 좋더라고요,p
2,갓 구운 빵 냄새가 너무 좋아요,p
3,저는 이 제품이 더 마음에 드네요,p
4,음! 괜찮네요,p
5,우와 이쁘다 이걸로 주세요,p
6,다른 타사 비교했을 때 이 회사 제품이 월등히 좋네요,p
7,작은 게 별걸 다 하는데요?,p
8,긴 전화 응대 감사드리고 바로 방문해서 구매하겠습니다,p
9,네. 감사합니다,p
10,사만 오천이백 원요? 정말 저렴하네요?,p
11,가격 괜찮다,p
12,작은 게 별걸 다 하네요,p
13,네 너무 좋네요,p
14,그립감이 좋죠?,p
15,정말 구성비 높은 제품이 내요,p
16,이런 거만 있으면 집에서도 웬만한 거는 다 만들 수 있을 것 같네요,p
17,아 정말 무선이 많이 좋아졌네요,p
18,처음 본 것보다 훨씬 더 좋은 거 같은데요?,p
19,이 망치는 가볍고 좋을 거 같은데요?,p
20,좋은데요?,p
21,작업 효율성은 높겠는데요?,p
22,정말 구성비 좋은 제품이네요?,p
23,하하하 고맙습니다,p
24,오 그럼 빨간색도 나쁘지 않은데? 고급스러운데?,p
25,모닝빵 귀여워요,p
26,지나가다 빵 냄새가 좋아서 들어왔는데 맛있는 냄새나네요?,p
27,빵 굽는 냄새는 진짜 너무 좋은 것 같아요,p
28,제도 빵 굽는 냄새 너무 좋아하거든요,p
29,네,p
30,맛있겠어요,p
31,네 맛도 좋고 영양도 좋고요,p
32,건강에도 좋겠어요,p
33,이 빵은 마지막 가장자리까지 맛있어요,p
34,이것도 사야겠어요,p
35,생활 인프라는 잘 돼있네요,p
36,우와 되게 깔끔하게 잘 됐네요 아주 맘에 드는걸요?,p
37,하하하 감사합니다,p
38,네 우와 이거 볼펜이 글씨가 되게 잘 써지네요?,p
39,이쁘게 나왔네요 감사합니다,p
40,머핀이 이쁘네요,p
41,아 그렇게 또 그런 경우는 대게 좋네,p
42,어머 어쩜 볼펜들이 너무 귀엽고 이뻐요,p
43,어 그림 되게 이쁘다,p
44,당근 케이크 부드러워 보이네요,p
45,오 좋다,p
46,네 크림치즈가 부드러워요,p
47,톱 날도 전환이 빨리 되겠네요,p
48,에 좋겠다,p
49,아 좋네요 그거는,p
50,오 좋아요,p
51,어머 다이아몬드 볼펜 이뻐요,p
52,획기적인 디자인이네요 맘에 드는데요?,p
53,너무 이뻐진 것 같아요,p
54,아까 거보다는 이게 훨씬 구성이 좋네요,p
55,좀 전에 봤던 것보다 이게 훨씬 구성이 좋네요,p
56,"아예 45,200 원이요 정말 저렴하네요",p
57,괜찮다,p
58,제 감사합니다 아 여기 있네요 수정테이프를 열 개를 사야 되는데 헐 되게 저렴하네요?,p
59,하하하 좋긴 하죠 사장님 그럼 저 이제 계산할게요 이렇게 다 해서 얼마예요?,p
60,하하하 싫으면 말고요,p
61,하하하 사장님 저 그럼 이따가 두 시간 뒤에 오겠습니다 근데 제본이 되면 따로 연락을 주시는 건가요?,p
62,인테리어가 너무 아기자기하네요,p
63,손재주가 좋으신가 보다 빵도 잘 만드시고,p
64,"와, 빵 꼭 사 먹어 봐야 되겠네요. 사장님 맞으시죠? 직원이신가요?",p
65,친절하시네요,p
66,감사합니다,p
67,아니요 괜찮습니다 감사합니다 수고하세요,p
68,아니요 전에 해봤더니 잠자는 시작이 좋은 거 같아서요,p
