sentence,sentiment
사은품은 판매 중인 생화 중에 한 종류로 발송해 드렸으며 겉흙이 말랐을 때 물을 듬뿍 주시면 됩니다.,p
진짜 죄송은 한 건지 열흘기다려 화물이라니 친정집에 74살 울아부지 혼자 계신데 1층으로 내려오라고요?,p
동화마을 구매했었는데 보석만 더 추가로 구입 가능한가요?,p
비즈만 별도 구매는 불가하며 작업 중후반 단계에서 필요하신 비즈번호와 대략적인 수량 확인해주시면 우편 발송해 드리도록 하겠습니다.,p
완전 배송비 값이네요. 대박.4개 사은품은 아무 거나 4개사도 해당되나요?,p
휴일임에도 불구하고 답변이 이렇게 빠른 곳은 처음이예요 혹시 직접 방문해서 바로 사올 수도 있을까요?,p
문의 드립니다 제품이 너무 이뻐서 그러는데 혹시 헤드 없으신 제품도 있을까요?,p
제품이 좋아서 몇 개 더 사려 구요. 다크 그레이 M사이즈 언제 입고되나요?,p
여름 이불에 사각 사각 문구를 붙여 주시니깐 정말 션하고 신선해 보입니다 저희가 제품 구성할 때 사각 사각 문구를 꼭 사용하고픈데요.,p
천사 같은 문의 글 감사합니다 전 구 폐기 부탁드립니다.,p
그러게요. 너무 좋아요,p
와 이건 너무 부드럽다,p
여름엔 시원하고 겨울엔 넘따뜻한데 이젠 몸이 눌리고 바닥이 딱딱해서 몸이 아파요 돌침대용은 3.5를 쓰라고 되어 있는데 어떤 걸 써야 될지요?,p
원단 저렴하게 파시는 것 같아서 감사드립니다벨보아 천으로 커텐 만들어 두 괜찮겠죠?,p
헉헉과 분한 칭찬 에 너무 뿌듯하고 기분 좋은데 갑자기 급부담이 음 근데 아사면 중에서 한겨울용으로 두껍게 만든 건 없어요.,p
오 좋네요 그럼 그렇게 해주실수 있나요?,p
아그리구 혹시의 자 너무 이뻐서 그러는데 별로도 구매 가능할까요?,p
감동샵 화분 받침에 관심을 가져주셔서 감사합니다. 로라 원형 사이즈는 4호 6호로 옵션이 준비되어 있으며 실제 화분 내 경 사이즈보다 큰 사이즈로 구입하시는 것이 좋습니다.,p
네 현재 직사각 깔판품절 상태로 입고 대기 중에 있습니다. 관심과 사랑 너무 감사드립니다.,p
배게 구매해서 잘 사용하고 있습니다. 이 스퇄 로 쿠션은 안 나오나요?,p
너무 마음에 드는데 킹사이즈는 없나요?,p
만족하셔서 너무 기쁩니다. 센스 넘치는 후기글 정말 감사드립니다.,p
